runner,season,timeofday,distance,durationsec,avghr,maxhr,avgcadence,maxcadence,avgspeed,maxspeed,elevgain,elevloss,elevchange,course,avgstride
Leah,SPRING,EVENING,3.75,4473,105,162,98,245,3.017602682,15.38,302,236,66,UPHILL,0.83
Leah,WINTER,EVENING,3.29,3238,136,171,129,249,3.658536585,6.33,771,768,3,FLAT,0.76
Leah,AUTUMN,EVENING,3.27,1721,159,184,165,179,6.844106464,8.89,79,184,-105,DOWNHILL,1.11
Leah,AUTUMN,AFTERNOON,3.25,3230,130,176,107,182,3.621730382,8.00,289,833,-544,DOWNHILL,0.91
Leah,SPRING,EVENING,3.24,1641,173,189,167,176,7.100591716,8.31,85,171,-86,DOWNHILL,1.14
Leah,WINTER,EVENING,3.22,1645,169,184,166,177,7.045009785,8.53,66,177,-111,DOWNHILL,1.14
Leah,AUTUMN,EVENING,3.2,1683,169,185,165,177,6.831119545,8.45,62,190,-128,DOWNHILL,1.11
Leah,AUTUMN,EVENING,3.17,1659,168,186,163,178,6.870229008,9.05,59,164,-105,DOWNHILL,1.13
Leah,WINTER,EVENING,3.17,1682,164,182,166,173,6.79245283,7.59,66,157,-91,DOWNHILL,1.1
Leah,SPRING,AFTERNOON,3.16,1558,173,185,170,179,7.302231237,8.37,89,164,-75,DOWNHILL,1.15
Leah,SPRING,EVENING,3.15,1652,171,186,162,179,6.857142857,8.53,79,164,-85,DOWNHILL,1.13
Leah,WINTER,EVENING,3.12,1795,164,179,157,174,6.25,7.66,75,180,-105,DOWNHILL,1.06
Leah,AUTUMN,EVENING,3.11,1588,170,183,168,178,7.045009785,10.47,56,164,-108,DOWNHILL,1.13
Leah,WINTER,EVENING,3.11,1626,162,187,166,177,6.896551724,9.05,62,154,-92,DOWNHILL,1.11
Leah,WINTER,EVENING,3.11,1561,166,188,166,180,7.171314741,8.43,69,171,-102,DOWNHILL,1.15
Leah,WINTER,EVENING,3.11,1584,167,184,166,176,7.058823529,8.22,62,154,-92,DOWNHILL,1.14
Leah,SPRING,EVENING,3.11,1532,155,175,169,177,7.302231237,8.24,66,157,-91,DOWNHILL,1.16
Leah,WINTER,AFTERNOON,2.51,2282,131,158,130,231,3.96039604,6.64,673,673,0,FLAT,0.82
Leah,WINTER,EVENING,2.13,1160,162,180,167,177,6.617647059,7.74,59,177,-118,DOWNHILL,1.06
Leah,WINTER,EVENING,2.02,2115,131,161,125,250,3.435114504,7.64,666,650,16,FLAT,0.74
Leah,SPRING,EVENING,1.69,867,163,182,166,175,7.003891051,7.88,16,102,-86,DOWNHILL,1.13
Leah,SPRING,EVENING,1.65,828,170,183,167,175,7.157057654,8.09,13,102,-89,DOWNHILL,1.15
Leah,WINTER,AFTERNOON,1.02,595,161,178,163,174,6.153846154,6.84,66,36,30,UPHILL,1.01
Leah,AUTUMN,AFTERNOON,1.01,1673,125,158,75,172,2.180496669,5.97,522,7,515,UPHILL,0.78
